编号,校验项,分类,负责人,状态
E1,一句话介绍：内核「策略先于执行，专业驾驭效能」，专业判断×策略深度×AI应用,企业介绍,两人,未完成
E2,三类目标客户描述符合现状，无夸大,企业介绍,两人,未完成
E3,全国线上交付 vs 多淼苏州本地边界表述清楚,企业介绍,两人,未完成
E4,私聊转发短版可直接使用,企业介绍,两人,未完成
E5,各产品交付标准「包含/不包含」已写清,企业介绍,两人,未完成
B1,主推 5 类确认：Logo/VI、广告创意、PPT、效果图、全案,业务范围定位,Howard主导,未完成
B2,企业 AI 落地、政务传播已从首屏移除,业务范围定位,Howard主导,未完成
B3,纯设计类全国线上可独立承接,业务范围定位,Howard主导,未完成
B4,多淼联合边界清楚：谁主导、谁报价、谁收款,业务范围定位,Howard主导,未完成
B5,策略型方案（崇明/BP）不与标准设计报价混排,业务范围定位,Howard主导,未完成
B6,渠道单 vs 自媒体直客两条线产品清楚,业务范围定位,Howard主导,未完成
P1,对外公开价逐项核对（Logo/PPT/效果图/全案）,报价合理性,两人,未完成
P2,用已收费案例反推：价格与实际项目是否匹配,报价合理性,两人,未完成
P3,公开价与渠道内部价严格隔离、不混用,报价合理性,两人,未完成
P4,与广告公司核对渠道内部价是否符合合作实际,报价合理性,两人,未完成
P5,修改轮次、付款节点、月结规则可执行,报价合理性,两人,未完成
P6,联合项目价是否需拆设计费/制作费/安装费,报价合理性,两人,未完成
P7,定稿报价 v1：记录需调整的产品和价格,报价合理性,两人,未完成
