"案例编号","案例名称","案例类型","案例状态","收费属性","优先级","对外包装标题","内容方向","公开边界","素材状态","负责人","关联文档"
"C001","多淼企业介绍 PPT","企业介绍 / PPT","待包装","已收费已交付","P0","一个企业介绍 PPT，为什么不是把资料排漂亮就够了？","企业能力重组、PPT 结构表达","可作为收费案例，需确认可公开页面","待补素材","Howard","06-case-packaging-library.md;07-content-first-month.md"
"C002","田文华视频号运营 PPT","个人品牌 / 运营策划 PPT","待包装","已收费已交付","P1","从个人经历到视频号运营方案","账号定位、内容结构、PPT 表达","需脱敏个人信息","待补素材","Howard","06-case-packaging-library.md"
"C003","讲宪法 PPT","法律教育 / 演讲课件","待包装","已收费已交付","P1","主题演讲课件的叙事与视觉转译","主题表达、演讲逻辑、视觉辅助","需确认客户名与内容公开边界","待补素材","Howard","06-case-packaging-library.md"
"C004","文家姑娘酸奶全案视觉设计","食品品牌 / 品牌视觉全案","待包装","已收费已交付","P0","地方酸奶品牌如何做出一套能落地的视觉系统？","食品品牌、VI、包装、门店应用","可作为食品茶饮标杆，公开前确认授权","待补素材","Brian","06-case-packaging-library.md;07-content-first-month.md"
"C005","半间茶舍 LOGO 设计","茶饮 / 文化空间 Logo","待包装","已收费已交付","P0","茶空间品牌气质的符号化表达","Logo 气质、文化空间、应用场景","注意名称统一为半间茶舍","待补素材","Brian","06-case-packaging-library.md;07-content-first-month.md"
"C006","汇泽万帮 LOGO 设计","企业 Logo","待包装","已收费已交付","P0","企业服务品牌的信任感识别","企业服务、信任感、标准化识别","可与半间茶舍合并成 Logo 文章","待补素材","Brian","06-case-packaging-library.md;07-content-first-month.md"
"C007","米兰坊店面效果图设计","商业空间 / 效果图","待包装","已收费已交付","P0","从店面效果图到成交想象：米兰坊空间视觉案例拆解","零售空间、门店氛围、效果图价值","可作为效果图主案例，确认图片公开边界","待补素材","Brian","06-case-packaging-library.md;07-content-first-month.md"
"C008","奶芙芙酸奶全案设计","食品品牌 / 品牌视觉全案","进行中","收费进行中","P0","食品 / 茶饮品牌全案标杆案例","过程记录、客户反馈、视觉系统演进","边交付边留存，不提前公开完整方案","收集中","Brian","06-case-packaging-library.md"
"C009","小马宝莉项目","商业综合体 IP 化焕新方案","待脱敏","前期测试 / 样板","P1","某商业综合体 IP 化焕新方案","综合体定位、招商运营、AI 概念图","必须脱敏 IP、主体、财务测算和招商信息","待整理","Howard","06-case-packaging-library.md;14-strategy-case-placement.md"
"C010","Teddy 项目设计","城市更新 + IP 主题乐园商业计划书","待脱敏","前期测试 / 样板","P1","某城市 IP 主题乐园商业计划书","政府 / 投资人版本拆分、BP 结构化","必须脱敏真实主体、合作方、收益测算","待整理","Howard","06-case-packaging-library.md;14-strategy-case-placement.md"
"C011","铺宝宝装修效果图","装修 / 效果图","待包装","前期测试 / 样板","P1","装修效果图如何快速建立成交想象","空间方案快速可视化","可脱敏展示，不冒充收费案例","待补素材","Brian","06-case-packaging-library.md"
"C012","华南茶养食集项目","市场 / 园区品牌升级 + 导视招商包装","待脱敏","前期测试 / 样板","P1","某食品市场品牌升级与导视系统方案","定位命名、VI 导视、招商物料、多淼落地协作","统一名称口径，不使用未核实经营数据","待整理","Howard","06-case-packaging-library.md;14-strategy-case-placement.md"
"C013","崇明数智音乐生态岛项目","商业项目方案 / 政府汇报 / BP 路演","待脱敏","策略型案例","P1","一个文旅项目方案，为什么不能只写愿景很大？","项目定位、商业模式、汇报叙事、PPT 策划","不公开内部沟通、敏感财务和强宣称","待整理","Howard","06-case-packaging-library.md;13-commercial-proposal-service.md;14-strategy-case-placement.md"
