"内容编号","标题","平台","内容类型","关联案例","发布周期","负责人","状态","文案链接","视觉素材","备注"
"P001","一个企业介绍 PPT，为什么不是把资料排漂亮就够了？","公众号","案例长文","多淼企业介绍 PPT","第1周","Howard","待写作","","待整理","首篇信任沉淀内容"
"P002","一页 PPT 怎么讲清一家公司的业务？","抖音 / 视频号","短视频","多淼企业介绍 PPT","第1周","Brian","待制作","","待整理","15-45 秒"
"P003","苏州企业介绍 PPT 设计｜不是套模板这么简单","小红书","图文笔记","多淼企业介绍 PPT","第1周","Howard","待写作","","待整理","搜索关键词：苏州 PPT 设计"
"P004","地方酸奶品牌如何做出一套能落地的视觉系统？","公众号","案例长文","文家姑娘酸奶全案视觉设计","第2周","Howard","待写作","","待整理","食品品牌主案例"
"P005","一个酸奶品牌，为什么需要完整视觉系统？","抖音 / 视频号","短视频","文家姑娘酸奶全案视觉设计","第2周","Brian","待制作","","待整理","展示 Logo、包装、应用"
"P006","食品品牌 VI 设计｜地方酸奶品牌视觉升级","小红书","图文笔记","文家姑娘酸奶全案视觉设计","第2周","Howard","待写作","","待整理","搜索关键词：食品品牌 VI"
"P007","Logo 设计不是画标志，是把品牌气质压缩成一个符号","公众号","案例长文","半间茶舍 LOGO 设计 / 汇泽万帮 LOGO 设计","第3周","Howard","待写作","","待整理","半间茶舍名称需统一"
"P008","茶空间 Logo，为什么不能太吵？","抖音 / 视频号","短视频","半间茶舍 LOGO 设计","第3周","Brian","待制作","","待整理","文化空间审美"
"P009","企业 Logo 设计为什么不能只看好不好看？","小红书","图文笔记","汇泽万帮 LOGO 设计","第3周","Howard","待写作","","待整理","搜索关键词：企业 Logo 设计"
"P010","从店面效果图到成交想象：米兰坊空间视觉案例拆解","公众号","案例长文","米兰坊店面效果图设计","第4周","Howard","待写作","","待整理","效果图主案例"
"P011","店面效果图，不只是装修前看看效果","抖音 / 视频号","短视频","米兰坊店面效果图设计","第4周","Brian","待制作","","待整理","适合前后对比"
"P012","苏州店面效果图设计｜装修前先看见结果","小红书","图文笔记","米兰坊店面效果图设计","第4周","Howard","待写作","","待整理","搜索关键词：苏州 店面效果图"
"P013","一个文旅项目方案，为什么不能只写愿景很大？","公众号","策略型加更","崇明数智音乐生态岛项目","备选加更","Howard","待脱敏","","待整理","不占首月收费案例主线"
"P014","商业综合体想做 IP 化，不能只换一套装饰","公众号","策略型加更","小马宝莉项目","备选加更","Howard","待脱敏","","待整理","必须脱敏 IP 与招商信息"
"P015","一个 IP 主题乐园商业计划书，为什么要分版本？","公众号","策略型加更","Teddy 项目设计","备选加更","Howard","待脱敏","","待整理","政府版 / 投资人版拆分"
"P016","传统市场升级，先做定位还是先做门头？","公众号","策略型加更","华南茶养食集项目","备选加更","Howard","待脱敏","","待整理","可衔接多淼实施能力"
"P017","后续报价都会写清交付内容、周期、修改轮次和不包含事项","朋友圈","报价说明","产品与报价","常规发布","Howard","待发布","","无需图片","用于熟人转化"
"P018","AI 能提高速度，但不能代替判断","朋友圈","方法论短文","通用","常规发布","Howard","待发布","","可配案例图","避免客户误解为廉价套模板"
