"编号","日期","平台","内容标题","内容类型","关联案例/业务","负责人","协作人","状态","交付物","发布/使用方式","备注"
"A001","2026-07-13","公众号","元晟传媒：AI 驱动的广告设计与品牌视觉服务","企业介绍","元晟传媒总介绍","Howard","Brian","待写作","公众号待发布稿 + 配图","公众号/私聊/朋友圈转发","主体未完成时先作为待发布稿"
"V010","2026-07-13","抖音/视频号","元晟传媒目前主要做什么？","短视频","5 类主推业务","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","先用业务卡片和案例画面"
"A002","2026-07-15","公众号","一个企业介绍 PPT，为什么不是把资料排漂亮就够了？","案例长文","多淼企业介绍 PPT","Howard","Brian","待写作","公众号待发布稿 + 长图","公众号/私聊/朋友圈转发","首个信任案例"
"V001","2026-07-15","抖音/视频号","企业介绍 PPT，不是把资料塞进模板","短视频","多淼企业介绍 PPT","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","展示原资料到结构页再到成稿"
"V002","2026-07-16","抖音/视频号","一页 PPT 怎么讲清一家公司的业务？","短视频","多淼企业介绍 PPT","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","单页前后对比"
"A003","2026-07-17","公众号","店面效果图的价值，不只是装修前看一眼","案例长文","米兰坊店面效果图","Howard","Brian","待写作","公众号待发布稿 + 案例图","公众号/私聊/朋友圈转发","效果图主案例"
"V003","2026-07-17","抖音/视频号","店面效果图，帮老板提前看见成交氛围","短视频","米兰坊店面效果图","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","门头和空间氛围展示"
"V004","2026-07-18","抖音/视频号","AI 可以提速，但不能代替设计判断","短视频","通用方法论","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","避免客户理解成廉价套模板"
"V009","2026-07-18","抖音/视频号","设计报价为什么要写清交付标准？","短视频","产品与报价","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","引导客户接受交付边界"
"A004","2026-07-20","公众号","从设计到制作安装：哪些项目适合元晟传媒和多淼联合承接？","说明长文","多淼联合交付","Howard","Brian","待写作","公众号待发布稿 + 流程图","公众号/私聊/朋友圈转发","清楚区分全国线上设计和苏州本地实施"
"V005","2026-07-20","抖音/视频号","从设计到制作安装，为什么需要联合交付？","短视频","多淼联合交付","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","设计图到现场落地流程"
"V006","2026-07-21","抖音/视频号","食品品牌视觉，第一眼要解决信任感","短视频","文家姑娘酸奶","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","食品/茶饮/农产品品牌"
"V007","2026-07-22","抖音/视频号","门头效果图和普通装修图有什么区别？","短视频","米兰坊/铺宝宝","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","门头招牌灯光材质"
"V008","2026-07-23","抖音/视频号","品牌全案不是做一张好看的图","短视频","文家姑娘/奶芙芙","Brian","Howard","待制作","15-45 秒成片","抖音/视频号","从视觉系统到应用场景"
"P001","2026-07-14","朋友圈","元晟传媒对外介绍转发","朋友圈","企业介绍","Howard","Brian","待发布","朋友圈文案 + 配图","朋友圈","说明当前主做 5 类业务"
"P002","2026-07-16","朋友圈","多淼 PPT 案例快照","朋友圈","多淼企业介绍 PPT","Howard","Brian","待发布","朋友圈文案 + 案例图","朋友圈","熟人转化"
"P003","2026-07-18","朋友圈","本周内容汇总和可咨询方向","朋友圈","内容汇总","Howard","Brian","待发布","朋友圈文案 + 九宫格","朋友圈","引导咨询 PPT/效果图/品牌全案"
"P004","2026-07-21","朋友圈","多淼联合交付能力说明","朋友圈","多淼联合交付","Howard","Brian","待发布","朋友圈文案 + 流程图","朋友圈","苏州本地制作安装边界"
