"文档编号","文档名称","来源文件","模块","用途","权限级别","导入状态","飞书文档链接","关联数据表","备注"
"D001","基础校验与底层判断","00-foundation-review.md","基础校验","确认业务范围、报价、企业介绍是否成立","内部协作","待导入","","基础校验;产品与报价","作为搭建前的校验依据"
"D002","启动准备清单","00-startup-checklist.md","启动准备","收款、账号、素材库、渠道确认、协作规则","内部协作","待导入","","启动准备;每日任务","34 项启动准备事项"
"D003","元晟传媒业务规划","01-business-plan.md","业务规划","90 天业务主线、收入线、业务边界","内部协作","待导入","","产品与报价;案例库;每日任务","工作台总纲"
"D004","渠道内部定价","02-channel-internal-pricing.md","定价","广告公司渠道内部价和结算规则","敏感内部","待导入","","产品与报价","不可外发，不可与自媒体报价混用"
"D005","自媒体对外报价","03-public-pricing.md","定价","对外公开报价和价格锚点","公开可转发","待导入","","产品与报价","用于对外报价图和客户沟通"
"D006","自媒体运营规划","04-social-media-plan.md","自媒体","平台分工、栏目、发布节奏","内部协作","待导入","","内容发布表","公众号、抖音、视频号、小红书"
"D007","90 天执行日历","05-90-day-execution-calendar.md","执行计划","阶段目标和周推进节奏","内部协作","待导入","","每日任务","后续转入每日任务表"
"D008","案例包装库","06-case-packaging-library.md","案例","案例总览、包装标题、公开边界","内部协作","待导入","","案例库;内容发布表","案例库主依据"
"D009","首月内容执行稿","07-content-first-month.md","内容","首月公众号、短视频、小红书选题","内部协作","待导入","","内容发布表","内容发布表主依据"
"D010","询盘与接单 SOP","08-sales-and-intake-sop.md","销售","客户沟通、需求收集、报价和成交流程","内部协作","待导入","","询盘记录;产品与报价","用于统一话术和跟进"
"D011","多淼联合业务规划","09-duomiao-partnership.md","多淼协作","联合业务范围、分工、苏州实施边界","内部协作","待导入","","产品与报价;案例库","区分元晟传媒全国线上交付与多淼苏州实施"
"D012","双人执行计划","10-two-person-execution-plan.md","执行计划","Howard和Brian的每日推进、分工和复盘","内部协作","待导入","","每日任务;晚间复盘","两人协作规则"
"D013","闲鱼渠道试点","11-xianyu-channel-pilot.md","渠道","低价体验款搜索流量测试","内部协作","待导入","","每日任务;询盘记录","14 天试点，不进入正式报价体系"
"D014","企业介绍与交付标准","12-company-profile-delivery-standards.md","企业介绍","对外企业介绍、服务说明、交付标准","公开可转发","待导入","","产品与报价;文档库","对外宣传核心文档"
"D015","商业项目方案设计服务","13-commercial-proposal-service.md","策略服务","商业方案、政府汇报、BP、路演 PPT","内部协作","待导入","","产品与报价;案例库","不放首屏，但可作为高阶服务"
"D016","策略型案例归类建议","14-strategy-case-placement.md","案例","崇明、小马宝莉、Teddy、华南茶养的归类","内部协作","待导入","","案例库","处理复杂案例定位"
"D017","公司注册路线图","15-company-registration-roadmap.md","公司化","注册公司触发条件和准备事项","内部协作","待导入","","启动准备","8 月后再看"
"D018","企业介绍对外宣传打磨","企业介绍-对外宣传打磨.md","企业介绍","对外宣传口径、私聊转发文案、企业介绍打磨","公开可转发","待导入","","任务交接;内容发布表","可直接转成宣传素材"
"D019","飞书共享版文档包说明","feishu/README.md","飞书共享","已整理的飞书共享文档目录","内部协作","已有本地共享版","","文档库","可优先复制到飞书文档"
"D020","飞书评论标注清单","feishu/飞书评论标注清单.md","飞书共享","建议在飞书文档中添加的修改标注","内部协作","已有本地共享版","","文档库","用于飞书评论和修改建议"
