日期,周次,当日重点,执行人,任务,当日交付物,状态
2026-07-06,第1周,基础校验：企业介绍 + 业务范围,Howard,两人审阅企业介绍，标出需改处,基础校验记录、业务范围确认结论、案例报价对照表,未开始
2026-07-06,第1周,基础校验：企业介绍 + 业务范围,Howard,确认 5 类主推业务 + 多淼联合边界,基础校验记录、业务范围确认结论、案例报价对照表,未开始
2026-07-06,第1周,基础校验：企业介绍 + 业务范围,Howard,发出多淼/飞书评论确认清单,基础校验记录、业务范围确认结论、案例报价对照表,未开始
2026-07-06,第1周,基础校验：企业介绍 + 业务范围,Brian,从客户视角审阅企业介绍,基础校验记录、业务范围确认结论、案例报价对照表,未开始
2026-07-06,第1周,基础校验：企业介绍 + 业务范围,Brian,整理已收费案例与公开报价对照表,基础校验记录、业务范围确认结论、案例报价对照表,未开始
2026-07-06,第1周,基础校验：企业介绍 + 业务范围,Brian,记录报价图待修改清单,基础校验记录、业务范围确认结论、案例报价对照表,未开始
2026-07-07,第1周,基础校验：报价合理性,Howard,逐项验证对外公开价与交付标准,报价校验结论、渠道价反馈、待调整价格清单,未开始
2026-07-07,第1周,基础校验：报价合理性,Howard,与广告公司核对渠道内部价,报价校验结论、渠道价反馈、待调整价格清单,未开始
2026-07-07,第1周,基础校验：报价合理性,Howard,汇总校验结论，改正文,报价校验结论、渠道价反馈、待调整价格清单,未开始
2026-07-07,第1周,基础校验：报价合理性,Brian,用案例反推报价是否合理,报价校验结论、渠道价反馈、待调整价格清单,未开始
2026-07-07,第1周,基础校验：报价合理性,Brian,做报价合理性对照草稿,报价校验结论、渠道价反馈、待调整价格清单,未开始
2026-07-07,第1周,基础校验：报价合理性,Brian,预备报价图版式（不出终稿）,报价校验结论、渠道价反馈、待调整价格清单,未开始
2026-07-08,第1周,定稿 v1 + 启动准备,Howard,定稿企业介绍+报价口径 v1,介绍+报价 v1、报价图 v1、3 个账号已注册,未开始
2026-07-08,第1周,定稿 v1 + 启动准备,Howard,写个人收款话术和服务协议简版,介绍+报价 v1、报价图 v1、3 个账号已注册,未开始
2026-07-08,第1周,定稿 v1 + 启动准备,Howard,定闲鱼体验款边界,介绍+报价 v1、报价图 v1、3 个账号已注册,未开始
2026-07-08,第1周,定稿 v1 + 启动准备,Brian,完成对外报价图 v1,介绍+报价 v1、报价图 v1、3 个账号已注册,未开始
2026-07-08,第1周,定稿 v1 + 启动准备,Brian,注册小红书/抖音/闲鱼账号,介绍+报价 v1、报价图 v1、3 个账号已注册,未开始
2026-07-08,第1周,定稿 v1 + 启动准备,Brian,建立案例素材文件夹,介绍+报价 v1、报价图 v1、3 个账号已注册,未开始
2026-07-09,第1周,多淼 PPT 案例,Howard,写多淼 PPT 案例小红书长文初稿,多淼 PPT 小红书初稿、短视频 v1、闲鱼第 2 个商品草稿,未开始
2026-07-09,第1周,多淼 PPT 案例,Howard,写朋友圈短文,多淼 PPT 小红书初稿、短视频 v1、闲鱼第 2 个商品草稿,未开始
2026-07-09,第1周,多淼 PPT 案例,Howard,写闲鱼 Logo 商品文案,多淼 PPT 小红书初稿、短视频 v1、闲鱼第 2 个商品草稿,未开始
2026-07-09,第1周,多淼 PPT 案例,Brian,选 6-9 张 PPT 案例图,多淼 PPT 小红书初稿、短视频 v1、闲鱼第 2 个商品草稿,未开始
2026-07-09,第1周,多淼 PPT 案例,Brian,做半间茶舍 / 汇泽万帮商品图,多淼 PPT 小红书初稿、短视频 v1、闲鱼第 2 个商品草稿,未开始
