"产品编号","产品名称","业务类型","是否主推","适用范围","对外价格","渠道内部价","交付标准摘要","交付周期","修改轮次","主责方","关联文档","备注"
"S001","Logo 基础版","Logo / VI","是","全国线上交付","1980 起","400-600 / 个","1 套 Logo 方向，基础应用预览，适合初创和小店","3-5 天","1-2 轮","元晟传媒","03-public-pricing.md;12-company-profile-delivery-standards.md","对外只说起价"
"S002","Logo 标准版","Logo / VI","是","全国线上交付","3980 起","按项目协商","Logo 方案深化，标准色、字体、基础应用规范","5-7 天","2 轮","元晟传媒","03-public-pricing.md;12-company-profile-delivery-standards.md","适合作为 VI 前置产品"
"S003","VI 视觉识别","Logo / VI","是","全国线上交付","12800 起","5800-8800 / 协作包","标志规范、标准字、标准色、辅助图形、基础办公和社媒应用","2-3 周","2 轮","元晟传媒","03-public-pricing.md;12-company-profile-delivery-standards.md","公开价筛选客户"
"S004","广告创意包","广告设计","是","全国线上交付","5680 起","2800-4800 / 项目包","KV 主视觉、海报延展、基础传播物料","7-10 天","2 轮","元晟传媒","03-public-pricing.md;12-company-profile-delivery-standards.md","可配合多淼做落地制作"
"S005","PPT 设计包","PPT / 企业介绍","是","全国线上交付","6800 起","40-60 / P","结构梳理、页面设计、封面目录重点页、可演示文件","7-14 天","2 轮","元晟传媒","03-public-pricing.md;12-company-profile-delivery-standards.md","企业介绍、汇报、路演均可"
"S006","店面 / 装修效果图基础包","空间效果图","是","全国线上交付，苏州可联合实施","6800 起","3000-5000 / 项目","门头或核心空间效果图，基础氛围表达","7-10 天","1-2 轮","元晟传媒主导，多淼可协作","03-public-pricing.md;09-duomiao-partnership.md;12-company-profile-delivery-standards.md","纯效果图可全国，施工制作看苏州"
"S007","店面 / 装修效果图标准包","空间效果图","是","全国线上交付，苏州可联合实施","12800 起","5000-8000 / 项目","门头、室内重点区域、材质氛围、基础落地建议","10-15 天","2 轮","元晟传媒主导，多淼可协作","03-public-pricing.md;09-duomiao-partnership.md;12-company-profile-delivery-standards.md","适合门店升级"
"S008","全案品牌服务","品牌全案","是","全国线上交付，苏州可联合实施","38800 起","18000-28000 / 协作包","品牌策略、视觉识别、核心应用、传播物料方向","5-8 周","2 轮","元晟传媒主导，多淼可协作","03-public-pricing.md;09-duomiao-partnership.md;12-company-profile-delivery-standards.md","用于高客单价锚点"
"S009","商业项目方案设计","策略型方案","选择性主推","全国线上交付","按项目报价","按项目协商","项目定位、商业模式、政府汇报、投资人路演、招商方案","2-4 周","按合同","元晟传媒","13-commercial-proposal-service.md;14-strategy-case-placement.md","不放首屏，但可作为高阶服务"
"S010","空间美陈 / 导视 / 文化墙联合服务","多淼联合","选择性主推","苏州本地实施为主","按项目报价","按项目协商","前期策略视觉由元晟传媒，多淼负责制作、安装、现场实施","按项目","按合同","多淼主导或联合主导","09-duomiao-partnership.md","线上询盘需先判断是否涉及现场实施"
"S011","政企传播 / 公益传播联合服务","多淼联合","选择性主推","苏州及多淼服务范围","按项目报价","按项目协商","政企传播策划、物料设计、活动视觉、视频号内容协作","按项目","按合同","多淼主导，元晟传媒协作","09-duomiao-partnership.md","不作为元晟传媒独立首屏业务"
