"文档编号","文档名称","来源文件","当前飞书链接","当前状态","下一步动作","备注"
"D005","自媒体对外报价","03-public-pricing.md","https://my.feishu.cn/wiki/H1L7wCgrRiUsr6kVLGOcbjtxnsd?base_hp_from=larktab&table=ldxicVTYfXBDNB3c","已创建链接，未确认回填","优先回填到文档管理清单；打开后核对标题和正文","不要再用长文粘贴方式批量操作"
"D006","自媒体运营规划","04-social-media-plan.md","","未完成；曾尝试创建但页面卡死","重新创建或改用飞书导入能力生成文档后再回填链接","原空白文档如仍存在，可删除或重命名后复用"
"D007","90 天执行日历","05-90-day-execution-calendar.md","","待处理","创建飞书文档并回填链接","可优先用于每日任务表拆解"
"D008","案例包装库","06-case-packaging-library.md","","待处理","创建飞书文档并回填链接","案例管理表主依据"
"D009","首月内容执行稿","07-content-first-month.md","","待处理","创建飞书文档并回填链接","内容发布计划表主依据"
"D010","询盘与接单 SOP","08-sales-and-intake-sop.md","","待处理","创建飞书文档并回填链接","用于统一接单话术"
"D011","多淼联合业务规划","09-duomiao-partnership.md","","待处理","创建飞书文档并回填链接","注意公开边界和苏州实施范围"
"D012","双人执行计划","10-two-person-execution-plan.md","","待处理","创建飞书文档并回填链接","Howard和Brian每日推进依据"
"D013","闲鱼渠道试点","11-xianyu-channel-pilot.md","","待处理","创建飞书文档并回填链接","14 天试点，不进入正式报价体系"
"D014","企业介绍与交付标准","12-company-profile-delivery-standards.md","","待处理","创建飞书文档并回填链接","内容较长，建议拆成企业介绍、交付标准、报价边界三段"
"D015","商业项目方案设计服务","13-commercial-proposal-service.md","","待处理","创建飞书文档并回填链接","高阶策略服务，不放首屏标准服务"
"D016","策略型案例归类建议","14-strategy-case-placement.md","","待处理","创建飞书文档并回填链接","崇明、小马宝莉、Teddy、华南茶养食集归类依据"
"D017","公司注册路线图","15-company-registration-roadmap.md","","待处理","创建飞书文档并回填链接","8 月后再看，可低优先级"
"D018","企业介绍对外宣传打磨","企业介绍-对外宣传打磨.md","","待处理","创建飞书文档并回填链接","可直接转成对外宣传素材"
"D019","飞书共享版文档包说明","feishu/README.md","","待处理","创建飞书文档并回填链接","本地已有飞书共享版，可优先复制"
"D020","飞书评论标注清单","feishu/飞书评论标注清单.md","","待处理","创建飞书文档并回填链接","用于后续飞书评论和修改建议"
