编号,任务,分类,负责人,状态
R1,确认个人微信收款可用于直客 50% 预付 + 50% 尾款,收款,Howard,未完成
R2,确认个人支付宝收款备用,收款,Howard,未完成
R3,渠道单继续走朋友广告公司结算,收款,Howard,未完成
R4,每笔直客收款后留聊天记录和交付确认截图,收款,Howard,未完成
C1,写个人服务协议简版,合同与话术,Howard,未完成
C2,写询盘首次沟通 7 问话术,合同与话术,Howard,未完成
C3,写报价后确认话术（预付、尾款、不包含事项）,合同与话术,Howard,未完成
C4,明确不提供发票的说明口径,合同与话术,Howard,未完成
A1,注册小红书账号「元晟传媒」并完成基础资料,账号开通,Brian,未完成
A2,注册抖音账号并完成基础资料,账号开通,Brian,未完成
A3,注册视频号并完成基础资料,账号开通,Brian,未完成
A4,注册闲鱼账号并可上架商品,账号开通,Brian,未完成
A5,朋友圈发布口径确认（Howard个人号）,账号开通,Brian,未完成
M1,建立总目录「案例资产/」,素材库,Brian,未完成
M2,7 个收费项目各建子文件夹,素材库,Brian,未完成
M3,填写案例素材缺口表,素材库,Brian,未完成
M4,统一水印和封面模板 v0.1,素材库,Brian,未完成
CH1,与现有广告公司确认近期可交付项目和排期,渠道确认,Howard,未完成
CH2,确认渠道内部价和结算规则是否可执行,渠道确认,Howard,未完成
CH3,锁定渠道单交付时间，避免和自媒体建设抢时间,渠道确认,Howard,未完成
CH4,记录渠道联系人、结算周期、修改轮次约定,渠道确认,Howard,未完成
D1,发出可公开案例边界确认清单,多淼协作,Howard,未完成
D2,确认联合报价分工：谁报价、谁收款、谁交付,多淼协作,Howard,未完成
D3,确认哪些案例可实名、脱敏、暂不发,多淼协作,Howard,未完成
D4,确认线上询盘分流规则,多淼协作,Howard,未完成
O1,固定 09:30 今日对齐（只看工作台 1-3 件事）,办公协作,两人,未完成
O2,固定 10:00-12:00 深工时段,办公协作,两人,未完成
O3,固定 14:00-17:30 修改成型时段,办公协作,两人,未完成
O4,固定 18:00 晚间五问复盘,办公协作,两人,未完成
O5,日内不讨论战略方向（方向只在周一/周五）,办公协作,两人,未完成
W1,通过协同服务器打开工作台（python3 server.py --port 8025）,工作台,Howard,未完成
W2,每天在工作台勾选今日任务,工作台,Howard,未完成
W3,启动准备清单逐项打勾,工作台,Howard,未完成
W4,询盘和报价记录进工作台表格,工作台,Howard,未完成
