日期,周次,当日重点,执行人,任务,当日交付物,状态
2026-07-08,7天冲刺,冻结公司名与LOGO工作版,Howard,确认本周对外名称统一使用「元晟传媒」,品牌冻结确认单、LOGO工作版文件夹、对外介绍短版v1,未开始
2026-07-08,7天冲刺,冻结公司名与LOGO工作版,Howard,确认本周不注册公司、不改名、不推翻LOGO,品牌冻结确认单、LOGO工作版文件夹、对外介绍短版v1,未开始
2026-07-08,7天冲刺,冻结公司名与LOGO工作版,Howard,提炼100字和300字对外介绍,品牌冻结确认单、LOGO工作版文件夹、对外介绍短版v1,未开始
2026-07-08,7天冲刺,冻结公司名与LOGO工作版,Brian,选定LOGO主版、反白版、透明底版,品牌冻结确认单、LOGO工作版文件夹、对外介绍短版v1,未开始
2026-07-08,7天冲刺,冻结公司名与LOGO工作版,Brian,制作本周临时品牌规范页,品牌冻结确认单、LOGO工作版文件夹、对外介绍短版v1,未开始
2026-07-09,7天冲刺,完成对外业务说明和报价图v1,Howard,确认5个主推服务范围,服务范围v1、多淼联合说明、报价图v1、服务卡v1,未开始
2026-07-09,7天冲刺,完成对外业务说明和报价图v1,Howard,确认多淼联合交付口径,服务范围v1、多淼联合说明、报价图v1、服务卡v1,未开始
2026-07-09,7天冲刺,完成对外业务说明和报价图v1,Howard,确认公开报价起价和交付标准摘要,服务范围v1、多淼联合说明、报价图v1、服务卡v1,未开始
2026-07-09,7天冲刺,完成对外业务说明和报价图v1,Brian,制作对外报价图v1,服务范围v1、多淼联合说明、报价图v1、服务卡v1,未开始
2026-07-09,7天冲刺,完成对外业务说明和报价图v1,Brian,制作服务范围卡v1,服务范围v1、多淼联合说明、报价图v1、服务卡v1,未开始
2026-07-10,7天冲刺,整理已收费案例第一批,Howard,整理7个已收费案例卡文字v0.5,7个案例卡文字v0.5、案例素材库、多淼PPT案例图v1,未开始
2026-07-10,7天冲刺,整理已收费案例第一批,Howard,撰写多淼企业介绍PPT案例长文初稿,7个案例卡文字v0.5、案例素材库、多淼PPT案例图v1,未开始
2026-07-10,7天冲刺,整理已收费案例第一批,Brian,给7个案例建立素材文件夹,7个案例卡文字v0.5、案例素材库、多淼PPT案例图v1,未开始
2026-07-10,7天冲刺,整理已收费案例第一批,Brian,制作多淼PPT案例封面和3张过程图,7个案例卡文字v0.5、案例素材库、多淼PPT案例图v1,未开始
2026-07-11,7天冲刺,发布第一批内容,Howard,定稿多淼PPT案例小红书文案,小红书长文1篇、朋友圈文案2条、短视频素材v1,未开始
2026-07-11,7天冲刺,发布第一批内容,Howard,撰写朋友圈发布文案2条,小红书长文1篇、朋友圈文案2条、短视频素材v1,未开始
2026-07-11,7天冲刺,发布第一批内容,Howard,撰写客户私聊转发话术,小红书长文1篇、朋友圈文案2条、短视频素材v1,未开始
2026-07-11,7天冲刺,发布第一批内容,Brian,制作小红书封面1张和正文配图4-6张,小红书长文1篇、朋友圈文案2条、短视频素材v1,未开始
2026-07-11,7天冲刺,发布第一批内容,Brian,制作15-30秒PPT前后对比短视频素材,小红书长文1篇、朋友圈文案2条、短视频素材v1,未开始
2026-07-12,7天冲刺,渠道和多淼协作确认,Howard,向多淼确认联合业务公开边界,多淼公开边界清单、渠道价反馈记录、报价图v2、联合交付流程图v1,未开始
2026-07-12,7天冲刺,渠道和多淼协作确认,Howard,向广告公司确认渠道内部价是否可执行,多淼公开边界清单、渠道价反馈记录、报价图v2、联合交付流程图v1,未开始
2026-07-12,7天冲刺,渠道和多淼协作确认,Howard,整理直客、渠道、多淼联合三类报价话术,多淼公开边界清单、渠道价反馈记录、报价图v2、联合交付流程图v1,未开始
2026-07-12,7天冲刺,渠道和多淼协作确认,Brian,根据反馈修改报价图和服务卡,多淼公开边界清单、渠道价反馈记录、报价图v2、联合交付流程图v1,未开始
2026-07-12,7天冲刺,渠道和多淼协作确认,Brian,制作设计+制作+安装联合流程图,多淼公开边界清单、渠道价反馈记录、报价图v2、联合交付流程图v1,未开始
2026-07-13,7天冲刺,Logo/VI内容线启动,Howard,撰写《Logo设计不是画标志》案例文案,Logo案例文案、Logo报价科普文案、案例图2组、科普图3张,未开始
2026-07-13,7天冲刺,Logo/VI内容线启动,Howard,撰写《Logo基础版和标准版有什么区别》报价科普,Logo案例文案、Logo报价科普文案、案例图2组、科普图3张,未开始
2026-07-13,7天冲刺,Logo/VI内容线启动,Brian,制作半间茶舍和汇泽万帮Logo应用图,Logo案例文案、Logo报价科普文案、案例图2组、科普图3张,未开始
2026-07-13,7天冲刺,Logo/VI内容线启动,Brian,制作Logo报价科普3张图,Logo案例文案、Logo报价科普文案、案例图2组、科普图3张,未开始
2026-07-14,7天冲刺,复盘并定下一周主推方向,Howard,统计7天完成物和询盘触达情况,7天复盘表、下周主推产品、未解决事项清单、案例作品集v0.5,未开始
2026-07-14,7天冲刺,复盘并定下一周主推方向,Howard,判断下周主推产品中保留2个方向,7天复盘表、下周主推产品、未解决事项清单、案例作品集v0.5,未开始
2026-07-14,7天冲刺,复盘并定下一周主推方向,Howard,记录未解决事项但不允许回到改名循环,7天复盘表、下周主推产品、未解决事项清单、案例作品集v0.5,未开始
2026-07-14,7天冲刺,复盘并定下一周主推方向,Brian,整理所有成稿文件并按可发布/待改/素材分类,7天复盘表、下周主推产品、未解决事项清单、案例作品集v0.5,未开始
2026-07-14,7天冲刺,复盘并定下一周主推方向,Brian,输出5页小作品集PDF或长图,7天复盘表、下周主推产品、未解决事项清单、案例作品集v0.5,未开始
